COUNTRY,PLACE,LANGUAGE,TIMEZONE,SPECIALITIES,IMAGES
Maldives,Maafushi Island,Dhivehi,Uzbekistan Time (UZT),"Cafes and shops, Maafushi Jetty; Sandbank trips",https://f.tpkcdn.com/review-source/cd430b70-8348-7bdc-5443-5ae96d859fa1.jpg
Maldives,Vaadhoo Island (Sea of Stars),Dhivehi,Uzbekistan Time (UZT),"Bioluminescent beach, Night beach walks, Local Villages",https://charismaticplanet.com/wp-content/uploads/2020/07/Sea-of-Stars-Vaadhoo-Island-Maldives.jpg
Maldives,Hanifaru Bay,Dhivehi,Uzbekistan Time (UZT),"UNESCO Biosphere Reserve,Manta rays and Whale sharks snorkelling, Dharavandhoo Thila",https://baliomtours.com/storage/2022/09/bali-om-tours-sumbawa-whaleshark-3.jpg
Maldives,Banana Reef,Dhivehi,Uzbekistan Time (UZT),World-class dive site; Coral walls & caves; Reef sharks,https://imgcdn.flamingotravels.co.in/Images/PlacesOfInterest/Banana-reef-maldives.jpg
Maldives,Veligandu Island,Dhivehi,Uzbekistan Time (UZT),Overwater villas; Sunset views; House reef snorkeling,https://www.budgetmaldives.com/wp-content/uploads/2020/06/Veligandu-aeroial.jpg
Singapore,Marina Bay Sands,Malay,Singapore Standard Time (SST),"Three-tower hotel with a rooftop SkyPark, Famous infinity pool, Luxury mall, casino, observation deck",https://dunham-bush.com/wp-content/uploads/2020/01/Marina-Bay-Sands.jpg
Singapore,Gardens by the bay,Malay,Singapore Standard Time (SST),"Supertree Grove, Cloud Forest, Flower Dome, Garden Rhapsody Light Show",https://img.freepik.com/premium-photo/gardens-by-bay-singapore_35355-976.jpg?w=740
Singapore,Sentosa Island,Malay,Singapore Standard Time (SST),"Universal Studios Singapore, SEA Aquarium, Adventure Cove Waterpark, Siloso Beach, Skyline Luge Sentosa",https://www.silverkris.com/wp-content/uploads/2019/07/shutterstock_1158192001.jpg
Singapore,Singapore Zoo and Night safari,Malay,Singapore Standard Time (SST),"Fragile Forest, Reptile Garden, Elephants of Asia, Rainforest KidzWorld, Tram rides",https://toorists.com/wp-content/uploads/2024/10/Singapore-Zoo-Tram-1.webp
Singapore,Chinatown,Malay,Singapore Standard Time (SST),"Buddha Tooth Relic Temple & Museum, Chinatown Street Market, Sri Mariamman Temple, Pagoda Street",https://www.fodors.com/wp-content/uploads/2021/09/WorldsBestChinatowns__HERO_shutterstock_1149718817-1400x933.jpg
Thailand,Bangkok,Thai,Indochina Time (ICT),"Grand Palace, Emerald Buddha Temple, Wat Arun, Floating markets + vibrant street food scene",https://a.cdn-hotels.com/gdcs/production6/d726/05cbcbb9-903e-4cdb-85a2-219d442b33f5.jpg
Thailand,Phuket,Thai,Indochina Time (ICT),"Patong Beach, Phi Phi Island day trips, Big  Buddha, snorkeling and island hopping",https://a.cdn-hotels.com/gdcs/production62/d1691/1026b578-d86d-46f4-8ff4-cc4e9ae2ccbb.jpg
Thailand,Chiang Mai,Thai,Indochina Time (ICT),"Wat Phra That Doi Suthep (mountaintop temple), Night Bazaar, Elephant sanctuaries, lush mountains",https://tse1.mm.bing.net/th/id/OIP.QJfAIuyYnj5wNLrzWvSGagHaEK?rs=1&pid=ImgDetMain&o=7&rm=3
Thailand,Krabi,Thai,Indochina Time (ICT),"Railay Beach, Tiger Cave Temple, island hopping to Koh Poda & Hong Islands, limestone cliffs, turquoise beaches",https://tse2.mm.bing.net/th/id/OIP.Ovr68o4ukVuosQWwd-klVAHaE8?rs=1&pid=ImgDetMain&o=7&rm=3
Thailand,Pattaya,Thai,Indochina Time (ICT),"Walking Street, Coral Island, Sanctuary of Truth, Water sports, nightlife, and family attractions",https://i.ibb.co/njSRW7Y/Untitled-design-11.webp
Bhutan,Paro Taktsang (Tiger’s Nest Monastery),Dzongkha,Bangladesh Standard Time (BST),"Most famous landmark, sacred cliffside monastery, hike with panoramic views",https://www.andbeyond.com/wp-content/uploads/sites/5/Bhutan-Paro-Tigers-Nest-6-Website-1920x1080-fill-gravityauto.jpg
Bhutan,Punakha Dzong,Dzongkha,Bangladesh Standard Time (BST),"Located at the meeting of two rivers: Pho Chhu & Mo Chhu, vibrant festivals and intricate architecture",https://unusualtraveler.com/wp-content/uploads/2016/09/punakha-dzong.jpg
Bhutan,Thimphu (Buddha Dordenma Statue),Dzongkha,Bangladesh Standard Time (BST),"Bhutan’s capital city, 169-foot Buddha statue, Clock Tower Square, Tashichho Dzong, weekend markets",https://cdn.britannica.com/02/75702-050-C11357BD/Schoolchildren-hill-Thimpu-Bhutan.jpg
Bhutan,Dochula Pass,Dzongkha,Bangladesh Standard Time (BST),"108 Druk Wangyal Chortens, high mountain pass at 3,100 m, Popular stop between Thimphu to Punakha",https://www.mustseespots.com/bhutan/img/dochula-pass-2.jpg
Bhutan,Phobjikha Valley (Gangtey),Dzongkha,Bangladesh Standard Time (BST),"Serene glacial valley known for its natural beauty, home to the endangered black-necked cranes, rural bhutan",https://thrillingtravel.in/wp-content/uploads/2018/05/Gangtey-monastery-phobjikha-valley-768x512.jpg
